p1,p2,symmetry_class,symmetry_num,esrgan_combined,esrgan_diff,esrgan_min,jpeg_combined,jpeg_diff,jpeg_q_combined,freq_radius_sum,pred_esrgan_nc,pred_jpeg_nc,pred_combined,pred_min_nc,pareto_optimal
"(2, 3)","(3, 2)",symmetric,2,8.836720458025027,0.09856791381906138,4.3690762721029825,5.918667420195662,0.04233593236713018,46.0,7.211102550927978,0.8182773953974802,0.8863636363636364,0.856875528147579,0.8182773953974802,True
"(2, 3)","(3, 3)",near-symmetric,1,8.486222606551124,0.2519299376548405,4.117146334448142,6.163301067635897,0.20229771507310446,53.0,7.8481919625832735,0.8422745906190096,0.8545454545454545,0.8117283907350421,0.8422745906190096,True
"(3, 2)","(3, 3)",near-symmetric,1,8.584790520370186,0.3504978514739019,4.117146334448142,6.120965135268767,0.24463364744023464,51.0,7.8481919625832735,0.8355260372097713,0.8636363636363636,0.8104065314167719,0.8355260372097713,True
"(2, 4)","(3, 3)",near-symmetric,1,8.168355931989097,0.06593673690718749,4.0512095975409546,6.558766568290311,0.19316778558130965,69.0,8.714776642118863,0.8640376588141685,0.7818181818181819,0.8029680498339558,0.7818181818181819,True
"(2, 2)","(3, 3)",near-symmetric,1,9.081537181731033,0.8472445128347479,4.117146334448142,6.0260583638125995,0.3395404188964015,45.0,7.0710678118654755,0.801515767080607,0.8909090909090909,0.7981821875210915,0.801515767080607,True
"(3, 3)","(4, 2)",near-symmetric,1,8.384665929889746,0.1503732609934625,4.117146334448142,6.589910970078028,0.2243121873690277,66.0,8.714776642118863,0.8492277727445048,0.7954545454545454,0.7981730272830665,0.7954545454545454,True
"(1, 3)","(3, 2)",near-symmetric,1,9.274273167454396,0.33898479561030914,4.467644185922044,5.865362534300909,0.010968953527623615,41.0,6.767828935632369,0.7883198999556932,0.9090909090909091,0.7957192127006887,0.7883198999556932,True
"(2, 2)","(2, 3)",near-symmetric,1,9.333467119385872,0.5953145751799074,4.3690762721029825,5.823760648739495,0.13724270382329706,40.0,6.433978400210179,0.7842671252683162,0.9136363636363636,0.7946511842518988,0.7842671252683162,True
"(2, 2)","(3, 2)",near-symmetric,1,9.432035033204933,0.496746661360846,4.467644185922044,5.781424716372365,0.09490677145616688,38.0,6.433978400210179,0.777518571859078,0.9227272727272727,0.7933293249336286,0.777518571859078,True
"(1, 3)","(2, 2)",near-symmetric,1,9.771019828815243,0.15776186575053686,4.806628981532353,5.770455762844741,0.08393781792854327,35.0,5.99070478491457,0.754309629826529,0.9363636363636364,0.7834948688050083,0.754309629826529,True
"(1, 2)","(2, 1)",symmetric,2,11.271713035802495,0.03956770016805056,5.616072667817222,5.591817632745844,0.1875817976918004,27.0,4.47213595499958,0.6515631288016084,0.9727272727272728,0.7827560590991468,0.6515631288016084,True
"(2, 2)","(3, 1)",near-symmetric,1,10.000616725224312,0.0718350306585318,4.96439084728289,6.037201575007861,0.3506836300916629,33.0,5.99070478491457,0.7385900426101838,0.9454545454545454,0.7767903892024739,0.7385900426101838,True
"(1, 3)","(2, 1)",near-symmetric,1,10.422701649349575,0.8094436862848688,4.806628981532353,5.816896505605465,0.03749707516782008,32.0,5.39834563766817,0.7096915649684387,0.95,0.7608149389810632,0.7096915649684387,True
"(2, 1)","(2, 2)",near-symmetric,1,10.580463515100112,0.651681820534332,4.96439084728289,5.732958687676922,0.046440742760723186,29.0,5.06449510224598,0.6988902368718235,0.9636363636363636,0.7584250512140032,0.6988902368718235,True
"(2, 7)","(3, 3)",asymmetric,0,7.540331860036336,0.693960808859948,3.423185525588194,7.120579638306754,0.7549808555977537,85.0,11.522750576399803,0.907035971628626,0.7090909090909091,0.7569488557044484,0.7090909090909091,True
"(3, 3)","(3, 7)",asymmetric,0,7.393589511796888,0.8407031570993961,3.276443177348746,7.198905548140878,0.8333067654318778,91.0,11.858413792983193,0.9170828371462306,0.6818181818181819,0.754795156833193,0.6818181818181819,True
"(2, 3)","(2, 7)",asymmetric,0,7.792261797691177,0.9458907465147885,3.423185525588194,6.91828192323365,0.9572785706708582,80.0,10.885661164744507,0.889787329816335,0.7318181818181818,0.7534178524352555,0.7318181818181818,True
"(1, 7)","(3, 3)",asymmetric,0,7.660847584074284,0.5734450848220005,3.5437012496261415,6.850633105578629,0.48503432286962767,84.0,11.31370849898476,0.8987847388611752,0.7136363636363636,0.7533617524076142,0.7136363636363636,True
"(2, 7)","(3, 2)",asymmetric,0,7.8908297115102375,1.04445866033385,3.423185525588194,6.87594599086652,0.9996145030379884,78.0,10.885661164744507,0.8830387764070968,0.740909090909091,0.7520959931169854,0.740909090909091,True
"(3, 3)","(5, 1)",asymmetric,0,8.389648763894751,0.15535609499846803,4.117146334448142,6.768302932386159,0.40270414967715773,64.0,9.34166020071207,0.848886617898985,0.8045454545454546,0.7506956071030273,0.8045454545454546,True
"(1, 7)","(3, 2)",asymmetric,0,8.011345435548186,0.9239429362959024,3.5437012496261415,6.605999458138394,0.7296679703098623,77.0,10.676619087329465,0.874787543639646,0.7454545454545455,0.7485088898201512,0.7454545454545455,True
"(1, 3)","(2, 3)",asymmetric,0,9.175705253635336,0.4375527094293705,4.3690762721029825,5.907698466668038,0.053304885894753795,43.0,6.767828935632369,0.7950684533649314,0.9,0.7470410720189589,0.7950684533649314,True
"(2, 7)","(3, 7)",asymmetric,0,6.6996287029369395,0.1467423482394481,3.276443177348746,7.9538864037386325,0.07832590983412402,118.0,14.895882995144426,0.9645955763435562,0.5590909090909091,0.7464846185334064,0.5590909090909091,True
"(1, 7)","(2, 7)",asymmetric,0,6.966886775214336,0.12051572403794752,3.423185525588194,7.605613961176383,0.2699465327281261,111.0,14.351177701145993,0.9462974780585007,0.5909090909090908,0.7450512141078277,0.5909090909090908,True
"(1, 7)","(3, 7)",asymmetric,0,6.820144426974887,0.2672580722773956,3.276443177348746,7.683939871010507,0.3482724425622501,117.0,14.686840917729384,0.9563443435761053,0.5636363636363637,0.7428975152365722,0.5636363636363637,True
"(2, 4)","(3, 7)",asymmetric,0,7.3276527748897005,0.7747664201922086,3.276443177348746,7.392073333722188,0.6401389798505681,102.0,12.087909060863488,0.9215972635290988,0.6318181818181818,0.7425038126629138,0.6318181818181818,True
"(2, 7)","(3, 4)",asymmetric,0,7.246309368325422,0.39993831714903383,3.423185525588194,8.018954460837737,0.14339396693322914,107.0,12.280109889280517,0.9271665233664947,0.6090909090909091,0.7390271867471696,0.6090909090909091,True
"(2, 7)","(4, 7)",asymmetric,0,6.639669486600283,0.20670156457610478,3.216483961012089,8.291000156342085,0.415439662437576,133.0,15.342367637579066,0.9687007456440526,0.49090909090909096,0.7284931746591587,0.49090909090909096,True
"(3, 7)","(4, 7)",asymmetric,0,6.492927138360836,0.059959216336656684,3.216483961012089,8.369326066176209,0.337113752603452,139.0,15.678030854162458,0.9787476111616572,0.4636363636363636,0.7263394757879034,0.4636363636363636,True
"(5, 7)","(7, 7)",near-symmetric,1,6.182519336208847,0.07687605925747265,3.052821638475687,8.764768819257892,0.20240833706629768,191.0,18.50182020365429,1.0,0.2272727272727273,0.7181818181818183,0.2272727272727273,True
"(3, 7)","(5, 7)",asymmetric,0,6.406140875081906,0.14674547961558604,3.12969769773316,8.297286397882175,0.26507408430941837,154.0,16.218098372906535,0.9846895217716473,0.3954545454545455,0.709450076699352,0.3954545454545455,True
"(3, 7)","(7, 7)",asymmetric,0,6.329264815824433,0.2236215388730587,3.052821638475687,8.499694734948473,0.46748242137571605,161.0,17.515268042475576,0.9899529200895134,0.36363636363636365,0.7030626611446171,0.36363636363636365,True
"(1, 1)","(2, 1)",near-symmetric,1,12.335364477397802,1.1032191417633577,5.616072667817222,6.332545759876794,0.5531463294391492,25.0,3.6502815398728847,0.5787391409104186,0.9818181818181818,0.6917889390917058,0.5787391409104186,True
