alpha,attack,coeff_row,coeff_col,mean_abs_change,std_abs_change,median_abs_change,mean_rel_change
0.05,jpeg_q50,1,7,3.943304951223569,3.3072400860254394,3.0279421580349304,5.564388708698929
0.05,jpeg_q50,2,0,3.0387167563716826,2.3348675628650444,2.551721535097186,3.754536913383434
0.05,jpeg_q50,2,1,2.9727415988215955,2.304763250659652,2.532438700310329,1.3003252435735384
0.05,jpeg_q50,2,2,2.9781091218714675,2.3518846577342587,2.5249165804149984,1.2927435772758558
0.05,jpeg_q50,2,3,3.1577306316249563,2.5368470912010928,2.6254055330497983,2.4671292870597115
0.05,jpeg_q50,2,4,3.5881403461080685,3.0184392999904124,2.894487412970845,2.575986775541296
0.05,jpeg_q50,2,5,3.7530778404965894,3.1893322677038163,2.937925318969149,3.993842957517872
0.05,jpeg_q50,2,6,4.511809726071928,4.070328906993423,3.2454163779288905,4.510397758289206
0.05,jpeg_q50,2,7,4.276422416158554,3.7389096311473433,3.2054417941542592,8.060295147507357
0.05,jpeg_q50,3,0,3.475453712777723,2.6572592473096774,2.9153154890048283,2.2525089616392684
0.05,jpeg_q50,3,1,3.328574137446539,2.5651946213608805,2.7751744177944797,2.624783480492551
0.05,jpeg_q50,3,2,3.124782149837781,2.514281609793819,2.6385326059108625,1.8347775802988813
0.05,jpeg_q50,3,3,3.3390630438692703,2.6838793323298473,2.7497405988542796,3.28102913327794
0.05,jpeg_q50,3,4,4.27938625725042,3.1518526474855144,3.6716004765547625,9.024512124293228
0.05,jpeg_q50,3,5,3.854139027982592,3.2364003867389615,2.9601017173179747,7.0997911880754945
0.05,jpeg_q50,3,6,4.51360703579421,4.04791831181211,3.3069905724839064,2.7853132502462046
0.05,jpeg_q50,3,7,4.273134322601819,3.7550315330823816,3.109095782880418,9.42006621987858
0.05,jpeg_q50,4,0,4.105825618286134,3.1782736087544543,3.4314062499999727,5.534392905847714
0.05,jpeg_q50,4,1,4.967658411512905,3.672388089295437,4.110671832520848,1.0363076999629932
0.05,jpeg_q50,4,2,3.604158185674592,3.0305551306794603,2.9478023145085563,2.250349699233045
0.05,jpeg_q50,4,3,4.015262918694087,3.1283433322604526,3.2424960456184664,6.608336715133878
0.05,jpeg_q50,4,4,3.948273776245115,3.4867744924183244,2.8905781250000135,3.254919767087498
0.05,jpeg_q50,4,5,4.210444565759073,3.58507016109789,3.1439046905154493,4.660709838728735
0.05,jpeg_q50,4,6,4.669673312220494,4.304167937595536,3.1943244312889023,2.789718589955425
0.05,jpeg_q50,4,7,4.627500987968657,4.0010776690074055,3.342333868971805,5.694607049012377
0.05,jpeg_q50,5,0,3.8431077537480594,2.950748481359384,3.2508117295913848,8.704350517716636
0.05,jpeg_q50,5,1,3.738474762570161,2.911378971473716,3.0828300223831238,3.9936961947848704
0.05,jpeg_q50,5,2,3.5808417385205003,2.976838129287441,2.968454460882803,3.115553555735198
0.05,jpeg_q50,5,3,3.7706233757885177,3.1260729934162867,2.947407807379664,4.948796269799948
0.05,jpeg_q50,5,4,4.351882588787927,3.5262204604429894,3.3726926439423295,6.539126276144367
0.05,jpeg_q50,5,5,4.205965253749249,3.642764520798417,3.139370661685435,6.66353643902916
0.05,jpeg_q50,5,6,4.787422216663659,4.385256658803994,3.2886069978780648,4.689378260834006
0.05,jpeg_q50,5,7,4.491625497164342,4.072910214886071,3.1172881653091347,5.253688543639445
0.05,jpeg_q50,6,0,3.3531629326701284,2.716657233878996,2.8581143894048586,2.734766795752861
0.05,jpeg_q50,6,1,3.4559941893543553,2.827013307222802,2.898829705412231,4.867198029211769
0.05,jpeg_q50,6,2,3.9401757512108118,3.3795508352660586,3.2489462893577663,2.111718457603061
0.05,jpeg_q50,6,3,4.123891820688252,3.5743606091098696,3.226389331646309,3.008694973722874
0.05,jpeg_q50,6,4,4.662005568283323,4.24826221412442,3.336175819441448,2.4180502139070517
0.05,jpeg_q50,6,5,4.6678335242487465,4.213299245690926,3.4208325288548567,3.381450093723937
0.05,jpeg_q50,6,6,5.025422752970535,4.858825080836348,3.1387593987686957,2.38656420986253
0.05,jpeg_q50,6,7,4.896507648611835,4.588192494477826,3.1793214469628275,4.1957582264368085
0.05,jpeg_q50,7,0,3.5020309537203906,2.7325559230030194,2.9540140207635557,5.6083841723002426
0.05,jpeg_q50,7,1,3.517301557448972,2.806130072917573,2.9528863578708338,5.429590221005767
0.05,jpeg_q50,7,2,3.8417359100844446,3.2191251331439186,3.1327390094751224,3.9837306797919907
0.05,jpeg_q50,7,3,3.968671246644702,3.3931972116233724,3.1369733807462294,4.120998545630285
0.05,jpeg_q50,7,4,4.7232782412451675,3.9331506557532006,3.524537912091928,7.998141818145794
0.05,jpeg_q50,7,5,4.445230666354498,4.018098321014787,3.160943761933647,5.186654450463935
0.05,jpeg_q50,7,6,4.911727632266144,4.642090957596484,3.186713967603789,5.661714754135178
0.05,jpeg_q50,7,7,4.687184019900598,4.421322876433764,3.152821316915954,5.837733883789297
