p1,p2,esrgan_diff,jpeg_diff,esrgan_mean,jpeg_mean,esrgan_isotropy_ratio,jpeg_isotropy_ratio
"(0, 1)","(1, 0)",0.5094488247092048,0.07093322369345856,10.126215224875185,3.6643519586674915,0.05030989499983536,0.019357644815115628
"(0, 2)","(2, 0)",0.07686116181829394,0.2657542094050367,7.467390844158151,2.8794559000954085,0.010292907311584413,0.09229320351675854
"(0, 3)","(3, 0)",0.1815087053400033,0.3679161161719531,6.2461708310673,3.2031129213094007,0.029059196465971205,0.11486204989037746
"(0, 4)","(4, 0)",0.37214421997076386,0.7603835937499945,5.596094146728529,3.5655136962890586,0.0665007074958378,0.213260601001587
"(0, 5)","(5, 0)",0.26858960991782865,0.3418983243612934,4.978280792925524,3.550441265835704,0.0539522821411586,0.09629741735238008
"(0, 6)","(6, 0)",0.28391581796437304,0.5928767922988061,4.557730786569632,3.5482056591706845,0.0622932400485334,0.16709200346559902
"(0, 7)","(7, 0)",0.25825203073063374,0.3988126519500965,4.259214753316144,3.603396515848341,0.060633719051044234,0.11067687116753644
"(1, 2)","(2, 1)",0.03956770016805056,0.1875817976918004,5.635856517901248,2.795908816372922,0.0070207075077889465,0.06709152909183448
"(1, 3)","(3, 1)",0.22959689640906866,0.26674581216311966,4.921427429736887,3.0605696964682023,0.04665250065900972,0.08715560781737322
"(1, 4)","(4, 1)",0.4329335051962957,1.0079046322561922,10.190897007321992,4.519650582352876,0.04248237470020942,0.22300498985288575
"(1, 5)","(5, 1)",0.31246684479106435,0.2890146853551947,4.116269007051078,3.440996198354061,0.07591021001198307,0.08399157357204862
"(1, 6)","(6, 1)",0.24550296408984096,0.49547674211903825,3.8594807524300565,3.568045029439216,0.06361036104021614,0.13886504739457045
"(1, 7)","(7, 1)",0.2391332186423316,0.2996196452545332,3.6632678589473073,3.5180238915968616,0.0652786604338155,0.08516702969817902
"(2, 3)","(3, 2)",0.09856791381906138,0.04233593236713018,4.418360229012514,2.959333710097831,0.022308709274501806,0.014305900082397472
"(2, 4)","(4, 2)",0.21630999790064998,0.031144401787718046,4.1593645964912795,3.391539377829669,0.05200553903909334,0.009182969241432817
"(2, 5)","(5, 2)",0.18865228457037597,0.12115633064677844,3.81142169522379,3.4806312852726062,0.04949656575833159,0.03480872310704676
"(2, 6)","(6, 2)",0.20188990687068786,0.4686961475044109,3.5648692438997367,3.9792926511192523,0.056633187098282835,0.11778378435488557
"(2, 7)","(7, 2)",0.11449359572946127,0.27584894788374736,3.4804323234529244,3.7998557730103806,0.03289637179782096,0.07259458367947741
"(3, 4)","(4, 3)",0.18599282889093116,0.3054723981020002,3.916120257182693,3.9284380148344833,0.04749415663367212,0.07775925111926978
"(3, 5)","(5, 3)",0.11768336979587124,0.03944359374949524,3.61538084255921,3.6087510330308166,0.03255075327349664,0.01092998474776146
"(3, 6)","(6, 3)",0.12235178335626218,0.3071012232623418,3.4124245464598078,4.095495207615018,0.035854795231500446,0.07498512577705589
"(3, 7)","(7, 3)",0.07889292377729396,0.2406869484496248,3.315889639237393,3.895762682561566,0.02379238526027609,0.06178172749767366
"(4, 5)","(5, 4)",0.019960267454735448,0.18324801386510625,3.49999386132152,4.0328972183152665,0.005702943560934959,0.0454383050063591
"(4, 6)","(6, 4)",0.06973521115862757,0.03336613708498337,3.318660447110415,4.451666672146914,0.021013060019245598,0.007495201133038073
"(4, 7)","(7, 4)",0.0975486295022927,0.17095079712716021,3.2652582757632356,4.43869530795341,0.029874705540556747,0.03851374903360556
"(5, 6)","(6, 5)",0.0549526223669603,0.11068981114149956,3.2701929229500433,4.491888018871889,0.016804091887455835,0.024642157301441064
"(5, 7)","(7, 5)",0.0601830945660784,0.04473008426024272,3.1597892450161993,4.258815198965675,0.01904655339307918,0.010502940881564001
"(6, 7)","(7, 6)",0.016277567406147497,0.033367990152689764,3.177448883287036,4.709072640644939,0.005122841626741933,0.007085894123756774
