coeff_pair,symmetry,attack,mean_nc,esrgan_damage_p1,esrgan_damage_p2,esrgan_delta,esrgan_combined,jpeg_delta,jpeg_combined
"(1,4)/(7,7)",asymmetric,real_esrgan,0.790234375,10.40736375992014,3.052821638475687,7.354542121444452,13.460185398395826,0.4678903119373148,8.499286844386873
"(1,4)/(7,7)",asymmetric,jpeg_compression_q50,0.9482421875,10.40736375992014,3.052821638475687,7.354542121444452,13.460185398395826,0.4678903119373148,8.499286844386873
"(1,4)/(7,7)",asymmetric,gaussian_blur_5x5,0.77724609375,10.40736375992014,3.052821638475687,7.354542121444452,13.460185398395826,0.4678903119373148,8.499286844386873
"(1,4)/(7,7)",asymmetric,espcn_x4,0.9978515625,10.40736375992014,3.052821638475687,7.354542121444452,13.460185398395826,0.4678903119373148,8.499286844386873
"(1,0)/(7,7)",asymmetric,real_esrgan,0.38779296875,10.380939637229789,3.052821638475687,7.328117998754101,13.433761275705475,0.7837700076478735,8.183407148676315
"(1,0)/(7,7)",asymmetric,jpeg_compression_q50,0.77646484375,10.380939637229789,3.052821638475687,7.328117998754101,13.433761275705475,0.7837700076478735,8.183407148676315
"(1,0)/(7,7)",asymmetric,gaussian_blur_5x5,0.4048828125,10.380939637229789,3.052821638475687,7.328117998754101,13.433761275705475,0.7837700076478735,8.183407148676315
"(1,0)/(7,7)",asymmetric,espcn_x4,0.9890625,10.380939637229789,3.052821638475687,7.328117998754101,13.433761275705475,0.7837700076478735,8.183407148676315
"(1,4)/(5,7)",asymmetric,real_esrgan,0.8046875,10.40736375992014,3.12969769773316,7.277666062186979,13.5370614576533,0.2654819748710171,8.296878507320576
"(1,4)/(5,7)",asymmetric,jpeg_compression_q50,0.96875,10.40736375992014,3.12969769773316,7.277666062186979,13.5370614576533,0.2654819748710171,8.296878507320576
"(1,4)/(5,7)",asymmetric,gaussian_blur_5x5,0.810546875,10.40736375992014,3.12969769773316,7.277666062186979,13.5370614576533,0.2654819748710171,8.296878507320576
"(1,4)/(5,7)",asymmetric,espcn_x4,0.99814453125,10.40736375992014,3.12969769773316,7.277666062186979,13.5370614576533,0.2654819748710171,8.296878507320576
"(1,0)/(5,7)",asymmetric,real_esrgan,0.401171875,10.380939637229789,3.12969769773316,7.251241939496628,13.510637334962949,0.5813616705815758,7.980998811610018
"(1,0)/(5,7)",asymmetric,jpeg_compression_q50,0.85908203125,10.380939637229789,3.12969769773316,7.251241939496628,13.510637334962949,0.5813616705815758,7.980998811610018
"(1,0)/(5,7)",asymmetric,gaussian_blur_5x5,0.429296875,10.380939637229789,3.12969769773316,7.251241939496628,13.510637334962949,0.5813616705815758,7.980998811610018
"(1,0)/(5,7)",asymmetric,espcn_x4,0.99013671875,10.380939637229789,3.12969769773316,7.251241939496628,13.510637334962949,0.5813616705815758,7.980998811610018
"(1,4)/(6,7)",asymmetric,real_esrgan,0.79365234375,10.40736375992014,3.1693100995839623,7.238053660336178,13.576673859504101,0.6766903793438148,8.708086911793373
"(1,4)/(6,7)",asymmetric,jpeg_compression_q50,0.9240234375,10.40736375992014,3.1693100995839623,7.238053660336178,13.576673859504101,0.6766903793438148,8.708086911793373
"(1,4)/(6,7)",asymmetric,gaussian_blur_5x5,0.79287109375,10.40736375992014,3.1693100995839623,7.238053660336178,13.576673859504101,0.6766903793438148,8.708086911793373
"(1,4)/(6,7)",asymmetric,espcn_x4,0.99794921875,10.40736375992014,3.1693100995839623,7.238053660336178,13.576673859504101,0.6766903793438148,8.708086911793373
