model,n_images,nc_mean,ber_mean,flip_rate,mean_abs_m_before,mean_abs_dc1,mean_abs_dc2,mean_abs_damage,mean_abs_diff_pert,std_diff_pert,mean_abs_common_pert,std_common_pert,corr_dc1_dc2,pct_diffpert_exceeds_margin
espcn,100,0.99919921875,0.000400390625,0.000244140625,38.50556379442772,0.82314644867394,0.828138872426631,0.8256426605502857,1.3085398692497983,1.9026411321081849,0.48853939897566834,0.6505381049978938,-0.36276120441805987,0.0341796875
fsrcnn,100,0.99955078125,0.000224609375,6.8359375e-05,38.50556379442772,0.9620082545861944,0.8810377669200347,0.9215230107531146,1.3512226550060011,1.8286850480864931,0.6449038724048353,0.9007525509223542,-0.015061249130374193,0.013671875000000002
lapsrn,100,0.9993359375,0.00033203125,0.00017578125,38.50556379442772,1.7232105644462563,1.6133585918288227,1.6682845781375397,2.8841845205736387,3.7055494818163774,0.8218117262866287,1.1732665241476998,-0.4282491294105467,0.0244140625
real_esrgan,100,0.78326171875,0.108369140625,0.108740234375,38.50556379442772,10.664312988044824,10.910781068351774,10.787547028198299,19.83452631968796,24.177103896379307,3.944665284134061,5.638527043995455,-0.6426581003017467,10.884765625
