image,alpha,model,attack_name,nc,ber,psnr_after_attack,ssim_after_attack,runtime_s,out_h,out_w,check
kodim01,0.1,fsrcnn,fsrcnn_x4,1.0,0.0,38.87084447118016,0.9839783677595738,0.18991708755493164,512,512,ok
kodim02,0.1,fsrcnn,fsrcnn_x4,1.0,0.0,40.9581364604946,0.9728367799441369,0.10631585121154785,512,512,ok
kodim03,0.1,fsrcnn,fsrcnn_x4,1.0,0.0,40.988436550558866,0.9699259957091769,0.10237383842468262,512,512,ok
kodim01,0.1,edsr,edsr_x4,1.0,0.0,40.29894966833147,0.9868385666618034,38.233684062957764,512,512,ok
kodim02,0.1,edsr,edsr_x4,1.0,0.0,42.64458725995589,0.9784680647696158,41.152323961257935,512,512,ok
kodim03,0.1,edsr,edsr_x4,1.0,0.0,42.32570834812648,0.9737394204311965,38.49154210090637,512,512,ok
kodim01,0.1,lapsrn,lapsrn_x4,1.0,0.0,38.5190097716156,0.9835433227827813,3.982009172439575,512,512,ok
kodim02,0.1,lapsrn,lapsrn_x4,1.0,0.0,41.54374869486265,0.9752118718131184,3.2474639415740967,512,512,ok
kodim03,0.1,lapsrn,lapsrn_x4,1.0,0.0,41.4958570611681,0.9738747832309316,3.353921890258789,512,512,ok
