attack_name,alpha,n,nc_mean,nc_std,ber_mean,ssim_mean,psnr_mean,runtime_mean_s
fsrcnn_x4,0.05,100,0.99947265625,0.0017304174906760939,0.000263671875,0.9776552949149471,39.13439470157181,0.10373177051544186
fsrcnn_x4,0.1,100,0.99955078125,0.0015420207398863556,0.000224609375,0.977231942647753,39.03378636338957,0.10376968580422939
fsrcnn_x4,0.2,100,0.9996875,0.001201103304352824,0.00015625,0.976356576524538,38.83095320551964,0.10356169939041132
fsrcnn_x4,0.3,100,0.99984375,0.000600551652176454,7.8125e-05,0.9754525941062336,38.6282548463839,0.10356403827667231
edsr_x4,0.05,100,0.99966796875,0.0011795767014326857,0.000166015625,0.981281092736932,40.32748106720791,43.803256604671475
edsr_x4,0.1,100,0.99970703125,0.0011571504969233833,0.000146484375,0.98085975588372,40.19901637257406,43.13708915907083
edsr_x4,0.2,100,0.99982421875,0.0006266131919215683,8.7890625e-05,0.9799904774507238,39.943178286326464,44.36525654315948
edsr_x4,0.3,100,0.9998828125,0.0005425741778581824,5.859375e-05,0.9790929895926639,39.69094634819153,43.80878871679306
lapsrn_x4,0.05,100,0.99919921875,0.0023571108807920174,0.000400390625,0.9784279499971408,39.27577420886591,5.816047458648682
lapsrn_x4,0.1,100,0.9993359375,0.0021720714248797362,0.00033203125,0.9780350446465649,39.182331135703265,5.8466098726410225
lapsrn_x4,0.2,100,0.99955078125,0.0015912124762862442,0.000224609375,0.9772234886209822,38.993794188323875,5.850176360607147
lapsrn_x4,0.3,100,0.99966796875,0.0012738111980340886,0.000166015625,0.9763838586381749,38.80430912290101,5.811998274326324
espcn_x4 (frozen),0.05,100,0.9991015625,0.002725906800661063,0.00044921875,0.9785011075074525,39.63213488214518,
espcn_x4 (frozen),0.1,100,0.99919921875,0.002545731093231398,0.000400390625,0.9780825866838285,39.521398631966555,
espcn_x4 (frozen),0.2,100,0.999375,0.0020187064135144973,0.0003125,0.9772186120552108,39.29937299297336,
espcn_x4 (frozen),0.3,100,0.999453125,0.0017354204750040037,0.0002734375,0.9763252720054729,39.078467580289164,
real_esrgan (frozen),0.05,100,0.77380859375,0.12426966617331371,0.113095703125,0.8855100427097544,29.172442303859633,
real_esrgan (frozen),0.1,100,0.78326171875,0.12410887146804016,0.108369140625,0.8852936279319457,29.164918039968356,
real_esrgan (frozen),0.2,100,0.80234375,0.12041183188381123,0.098828125,0.88484253869511,29.14874542911498,
real_esrgan (frozen),0.3,100,0.81978515625,0.11590731161001903,0.090107421875,0.8843721973859081,29.131547172944828,
