model,corr_diffpert_embedshift,p,undo_fraction_k,m_after~m_before_slope,R2_before_only,m_after~before_coef,m_after~orig_coef,R2_before_plus_orig,mean_abs_embed_shift,mean_abs_m_orig
espcn,-0.14076680997819335,0.0,0.004924881684169576,0.9994457825690912,0.9982171528734283,0.997020878781888,0.0063596130292885005,0.9982606009122955,38.52251893968568,30.76031830146214
fsrcnn,-0.05209564356581643,1.779894496637892e-62,0.0017517776162831523,1.0125985408429776,0.9985493286708748,1.0089279415636032,0.009626605032991639,0.9986463446978666,38.52251893968568,30.76031830146214
lapsrn,-0.6946839682962526,0.0,0.047334581827451185,0.9596092276195227,0.9944526252899539,0.9439976559068577,0.040943296552839396,0.9963987162268985,38.52251893968568,30.76031830146214
real_esrgan,-0.7257135599293283,0.0,0.3226325390990244,0.7377192537475663,0.7127521195482749,0.6284528691974308,0.28656473981178415,0.8283644174170401,38.52251893968568,30.76031830146214
