model,flip_rate_opposing,flip_rate_agreeing,risk_ratio,pct_of_flips_in_opposing_blocks,pct_blocks_opposing,flip_rate_strong_opposing(|m_orig|>30),n_flips_total
espcn,0.0004876145894285157,0.0,inf,100.0,50.06835937500001,0.0012644404850853496,25
fsrcnn,0.00013653208503998439,0.0,inf,100.0,50.06835937500001,0.00040232197252715676,7
edsr,1.9504583577140627e-05,0.0,inf,100.0,50.06835937500001,5.7474567503879534e-05,1
lapsrn,0.0003510825043885313,0.0,inf,100.0,50.06835937500001,0.0010345422150698316,18
real_esrgan,0.1966452116247318,0.020594562878936046,9.548404245368031,90.54333183655142,50.06835937500001,0.34467498132076557,11135
