pair,nc_mean,flip_rate,mean_abs_m_before,median_abs_m_before,mean_abs_dc1,mean_abs_dc2,mean_abs_damage,mean_abs_diff_pert,std_diff_pert,mean_abs_common_pert,std_common_pert,median_snr,pct_diffpert_exceeds_margin,corr_dc1_dc2
standard,0.78326171875,0.108740234375,38.50556379442772,31.532508195245256,10.664312988044824,10.910781068351774,10.787547028198299,19.83452631968796,24.177103896379307,3.944665284134061,5.638527043995455,1.80482336649421,10.884765625,-0.6426581003017467
balanced,0.68263671875,0.1590625,38.848418225393,31.761418484562128,13.157232438374821,13.055416159858014,13.106324299116418,22.963124488752165,27.781668770636376,5.640200879767878,8.51483800021962,1.4904065524130892,16.88671875,-0.45375888850213597
hf,0.8310546875,0.084580078125,31.036229103235087,30.23315158354696,10.227400630851134,11.114568168967066,10.670984399909099,20.554190448669683,22.952721079436643,2.5954920665413432,3.8000578141801014,1.3233260278764705,8.5048828125,-0.8048608891153144
