image,pair,nc,ber,flip_rate,bit_error_rate_blocks,mean_abs_m_before,min_abs_m_before,median_abs_m_before,mean_abs_m_after,mean_margin_loss_signed_to_bit,mean_abs_dc1,mean_abs_dc2,mean_abs_damage,mean_abs_diff_pert,std_diff_pert,mean_abs_common_pert,std_common_pert,margin_var_after
kodim01,standard,0.73828125,0.130859375,0.130859375,0.130859375,38.24588594520792,27.25924126749943,32.310837414189024,22.152100001917038,-18.711498420532546,11.04603871245765,11.201307640212434,11.123673176335043,20.07995371621253,23.888792914142535,5.091841925073316,6.846250272217122,1157.2651574407555
kodim01,balanced,0.697265625,0.1513671875,0.1513671875,0.1513671875,36.77435509119563,26.977138290118347,32.13792331393467,23.331213459917187,-17.64314486216488,12.762513713330016,13.493064578457314,13.127789145893665,21.906779680596962,26.693043629553742,6.924290292090784,9.224176448213576,1107.9127213997244
kodim01,hf,0.888671875,0.0556640625,0.0556640625,0.0556640625,31.903410331303903,26.84116562444577,30.956635456302735,12.574821594659952,-19.700032287159818,10.330874715425198,10.564206360811298,10.447540538118247,20.007089971926742,21.85831268672672,3.7284767789437074,5.2923614574132705,268.3602074796506
kodim01,standard_live,0.59765625,0.201171875,0.201171875,0.201171875,38.24588594520792,27.25924126749943,32.310837414189024,27.489506124809225,-17.73681136421174,15.437399963877636,14.063597937139278,14.750498950508458,24.426476395398268,30.489951233849602,8.327989414385023,11.703644749270664,1663.666799484882
kodim02,standard,0.7890625,0.10546875,0.10546875,0.10546875,32.21550454295182,27.19386074592964,30.709083081358333,11.020888411615488,-22.498552555920497,11.91625038191994,11.31424814147125,11.615249261695595,22.751332488839743,24.781104350044888,2.8282316147967097,3.9957602269572075,316.7797332668806
kodim02,balanced,0.6328125,0.18359375,0.18359375,0.18359375,32.10975877211588,26.40386220615069,30.990560972954107,10.736949411049597,-23.297670757067813,12.401816376038408,12.439342596438076,12.420579486238243,24.16704659949413,26.354809534113073,3.1132087544605405,4.377002023513834,360.9300241352455
kodim02,hf,0.853515625,0.0732421875,0.0732421875,0.0732421875,30.244387500728635,27.053598083119034,30.06612722557429,5.971518144992785,-24.464454849025998,11.761572347650771,12.989520225067135,12.375546286358954,24.628285452392774,25.43090050939318,2.3198294216480093,3.1669493391961065,90.05702235784698
kodim02,standard_live,0.6171875,0.19140625,0.19140625,0.19140625,32.21550454295182,27.19386074592964,30.709083081358333,11.488248320895892,-22.888478559413848,12.495523224499216,12.18018744342569,12.337855333962452,23.646367256664753,26.07745943996956,3.520137498439193,5.019320263275395,352.1348565517303
kodim03,standard,0.84765625,0.076171875,0.076171875,0.076171875,33.281607114135326,18.636123783339663,30.826048322392573,16.314155233179555,-18.11983486979132,9.795885535469282,9.989374807852034,9.892630171660658,19.167463102160923,21.901918347776398,2.0986459629808296,2.9767802548196456,580.5197861852847
kodim03,balanced,0.796875,0.1015625,0.1015625,0.1015625,34.22980754799993,18.330382148173683,31.0260178144423,16.764790058670208,-19.44051898338502,12.036410022629505,11.862623380937253,11.949516701783379,22.31200754363153,25.26061773409023,3.3133849401334654,5.5490338285070715,868.1981711444726
kodim03,hf,0.876953125,0.0615234375,0.0615234375,0.0615234375,30.293819244138042,13.333632911810616,29.318912132714964,10.156295162991547,-20.89025691148475,11.171358742697768,13.131660585737668,12.151509664217718,23.69808610395074,25.177375439472986,2.1422922877945156,3.4656309913112313,350.3012589076625
kodim03,standard_live,0.76171875,0.119140625,0.119140625,0.119140625,33.281607114135326,18.636123783339663,30.826048322392573,16.65063068453214,-18.9155256384904,11.388071177319734,12.5035152497397,11.945793213529717,22.13620705843489,25.329482720353134,3.5545368042200325,6.002795184406243,719.6043016755322
kodim04,standard,0.814453125,0.0927734375,0.0927734375,0.0927734375,33.470899337224935,20.22803027484821,30.97886248904993,16.5775386052079,-18.854842678368108,10.367054497733033,10.35139434560089,10.359224421666962,19.8571935534757,22.864126447053238,3.0144277882859862,4.2845164826155,640.1672363455762
kodim04,balanced,0.748046875,0.1259765625,0.125,0.1259765625,33.4623939589483,7.9163499269645,31.11034108498034,15.51235627291521,-20.489729016054994,11.419756592674561,11.836161002486318,11.62795879758044,22.11098617793649,25.363711872892814,3.5261943618356355,5.1326210698548,790.0263063445827
kodim04,hf,0.8984375,0.05078125,0.05078125,0.05078125,30.458719473633185,22.625482825806,30.04180293208827,8.552392152934045,-22.545622008975755,11.138329232374183,12.149051838324002,11.643690535349092,22.9694805382373,24.371515152928627,2.2326207988094966,3.1545934483920925,169.63858453494214
kodim04,standard_live,0.728515625,0.1357421875,0.1357421875,0.1357421875,33.470899337224935,20.22803027484821,30.97886248904993,16.91056058604039,-19.52326389768944,11.493664914073277,11.554221817369166,11.523943365721221,21.324948398865992,25.029812538252234,3.8756015522933476,5.68753496475878,712.4339596337454
kodim05,standard,0.822265625,0.0888671875,0.0888671875,0.0888671875,47.21730495220905,16.698800386217464,33.667751100540826,37.882048428097654,-11.717469946227393,8.710296262074845,8.874194899782498,8.792245580928672,15.587977313436635,20.65370766475056,4.196394595542721,5.583799205457075,3173.1562039000382
kodim05,balanced,0.744140625,0.1279296875,0.126953125,0.1279296875,51.172155992276274,13.068841751966147,33.89811194151521,44.05010826006379,-11.402838231620935,11.792759949321319,11.021260948510374,11.407010448915846,19.48309592597493,25.487109729446946,6.01053579075803,7.939961264972555,4979.629272081449
kodim05,hf,0.833984375,0.0830078125,0.0830078125,0.0830078125,32.9553308562592,15.031732799229655,31.36560679905734,19.908983773244188,-15.035107992083642,8.999344393653148,9.633889669475524,9.316617031564336,17.113859091910676,21.027066077165305,3.4789544956877845,6.249515765776,671.6306418515985
kodim05,standard_live,0.77734375,0.111328125,0.111328125,0.111328125,47.21730495220905,16.698800386217464,33.667751100540826,40.94832722513942,-9.610732132970114,10.811262297302465,11.294109100065103,11.052685698683785,18.271518529641632,23.78211360488213,6.426395138815749,8.632175838348978,3599.5326446146796
kodim06,standard,0.830078125,0.0849609375,0.0830078125,0.0849609375,35.5571590605426,3.796523285132876,31.327025808291133,20.250140848573988,-16.362825582712272,9.009921772964164,10.588422138936997,9.79917195595058,17.91748944059963,20.481928118791227,4.012087224693555,5.7200831841612585,1031.279255830535
kodim06,balanced,0.6796875,0.16015625,0.1591796875,0.16015625,36.23721899302207,5.203633335273672,31.535064610129986,23.587109058009865,-15.613527647848485,12.606282977584273,12.223366252516172,12.414824615050222,20.819381901558373,25.11545748689239,6.016434112074816,9.16310859930941,1300.1698989024003
kodim06,hf,0.92578125,0.037109375,0.037109375,0.037109375,31.009727069441126,12.559088945898516,30.68427657934788,13.188610247430887,-18.118064190200332,9.358993372207904,10.124538274500676,9.741765823354289,18.64526442528644,20.275105881255726,3.0177819431575523,4.209917714026461,336.72736393503266
kodim06,standard_live,0.65625,0.171875,0.169921875,0.171875,35.5571590605426,3.796523285132876,31.327025808291133,23.95939240436749,-15.136786602857537,12.48690216131158,13.362347253703629,12.924624707507604,21.68971175205778,26.34617198029356,6.426690783280935,9.939106503450088,1500.4276584126428
