pair,corr_diffpert_embedshift,p,undo_fraction_k,m_after~m_before_slope,R2_before_only,m_after~before_coef,m_after~orig_coef,R2_before_plus_orig,mean_abs_embed_shift,mean_abs_m_orig
standard,-0.7257135599293283,0.0,0.3226325390990244,0.7377192537475663,0.7127521195482749,0.6284528691974308,0.28656473981178415,0.8283644174170401,38.52251893968568,30.76031830146214
balanced,-0.6045817885600647,0.0,0.3029835939192868,0.7511057734397794,0.6575259377894084,0.6412017663679842,0.26389156294708555,0.744871631216536,38.58646397618906,30.358528749562154
hf,-0.8047157122424119,0.0,0.532003559932237,0.41667796927126577,0.4772673763201797,0.40300148095603516,0.29380616223282113,0.5495328252538868,31.070582235482643,10.052305498651524
