pair,quantity,flipped_median,kept_median,mannwhitney_p,rank_biserial
standard,abs_m_before,31.932808228480113,31.493491914045773,2.0382822330311354e-08,0.03250558759358768
standard,abs_dc1,19.719839417730235,8.868414568576114,0.0,-0.7909822845982764
standard,abs_dc2,20.312073532532768,9.25405786503766,0.0,-0.7908542877266842
standard,diff_pert,39.68141226610952,16.670993687611936,0.0,-0.9552214425830463
standard,common_pert,2.885115117530386,2.672421426837398,3.840395509193191e-06,-0.026774477605848945
standard,pointbiserial_abs_m_before,,,6.174075578048202e-213,-0.0970952143674581
standard,pointbiserial_abs_dc1,,,0.0,0.5218572204325571
standard,pointbiserial_abs_dc2,,,0.0,0.5227050743414043
balanced,abs_m_before,31.576517634805093,31.80287562719618,8.469053960304105e-123,0.11625833616466219
balanced,abs_dc1,19.03780391187494,10.892790199554163,0.0,-0.6187523760290887
balanced,abs_dc2,18.789361575176763,10.74968036795201,0.0,-0.6176333344877671
balanced,diff_pert,38.35477733488087,19.300754045488283,0.0,-0.9136301990248548
balanced,common_pert,3.7970874730396935,3.3864758365454546,1.2963944473854354e-14,-0.03801586938178558
balanced,pointbiserial_abs_m_before,,,1.167028191347e-311,-0.11752496772353198
balanced,pointbiserial_abs_dc1,,,0.0,0.42497879632945407
balanced,pointbiserial_abs_dc2,,,0.0,0.4210675344748438
hf,abs_m_before,29.964004421714343,30.256068192905968,1.1990820650262524e-52,0.0990160955855044
hf,abs_dc1,15.343653498762436,10.342463087050117,0.0,-0.7195181368894057
hf,abs_dc2,16.650475148629813,11.433959377627598,0.0,-0.6914569887064879
hf,diff_pert,32.21386820142406,21.278272464909172,0.0,-0.895650317209093
hf,common_pert,1.6737423388338648,1.7354683650495186,0.006915342132759104,0.017512769375731763
hf,pointbiserial_abs_m_before,,,2.8784404762084904e-99,-0.06601623342025603
hf,pointbiserial_abs_dc1,,,0.0,0.3916618028626624
hf,pointbiserial_abs_dc2,,,0.0,0.358958610412909
pooled,abs_m_before,31.30280628347274,31.1958567533667,2.760339389568829e-25,0.03361409918329439
pooled,abs_dc1,18.003080719492,10.026242351193027,0.0,-0.7079781342276514
pooled,abs_dc2,18.324935894207176,10.454624563461707,0.0,-0.697459460137241
pooled,diff_pert,36.59158458279953,19.041633259063204,0.0,-0.9260219564713732
pooled,common_pert,2.7642812231264715,2.392400425935854,5.47576978576822e-67,-0.055942518496086
pooled,pointbiserial_abs_m_before,,,0.0,-0.08294309214189541
pooled,pointbiserial_abs_dc1,,,0.0,0.45444442288867787
pooled,pointbiserial_abs_dc2,,,0.0,0.4439071695191871
