image,selected_pair,embedding_cost,alpha_adaptive,standard_psnr,adaptive_psnr,psnr_improvement
kodim01.png,"(7,4)/(7,7)",0.24052127620758296,0.22459483680226805,40.522719951846824,43.80710607230441,3.284386120457583
kodim02.png,"(4,7)/(5,7)",0.19624710546084007,0.13593100726090437,42.8514230807216,45.07746704097123,2.2260439602496263
kodim03.png,"(6,7)/(7,5)",0.23799333361617514,0.12100980814124193,42.67252367571915,45.10772222347266,2.435198547753515
kodim04.png,"(7,4)/(7,7)",0.1912687123193304,0.149050828725599,42.38846065757762,44.67321841875699,2.284757761179371
kodim05.png,"(4,7)/(5,7)",0.15174612758894637,0.2012549322520745,38.375554364065145,42.0131026239233,3.637548259858157
kodim06.png,"(7,4)/(7,7)",0.1661567173226855,0.1670173921751597,40.285685296206154,43.955754770262416,3.6700694740562625
kodim07.png,"(4,7)/(5,7)",0.16789199176709857,0.14416058208013122,40.323596346103834,44.482221260982655,4.158624914878821
kodim08.png,"(4,7)/(5,7)",0.17842969555553684,0.23375534921511024,37.63134906126618,43.57088827013357,5.939539208867394
kodim09.png,"(7,4)/(7,7)",0.22690998349333086,0.12436648148445531,41.924849419178905,44.99572649877394,3.0708770795950358
kodim10.png,"(4,7)/(5,7)",0.19977172849763594,0.12482772917991339,41.755315794164105,44.67168054732805,2.916364753163947
kodim11.png,"(7,4)/(7,7)",0.2133210964303631,0.1516298803428006,41.155574087373395,44.489720252274054,3.334146164900659
kodim12.png,"(4,7)/(5,7)",0.21253941022763592,0.12317816234479012,42.59541083175286,45.24302390203043,2.647613070277572
kodim13.png,"(5,7)/(7,6)",0.24523930440876313,0.22677344866684535,38.94964593617576,41.963170576443815,3.0135246402680522
kodim14.png,"(4,7)/(5,7)",0.20589909696639147,0.15855410930078115,39.70894049545273,44.06869750012227,4.3597570046695395
kodim15.png,"(4,7)/(5,7)",0.11787878207396499,0.13383598762591006,41.91954914017756,44.720818202961645,2.801269062784087
kodim16.png,"(7,4)/(7,7)",0.18431567978385233,0.13716890192909142,42.364124277551475,44.83539367355527,2.471269396003791
kodim17.png,"(7,4)/(7,7)",0.20346828124328795,0.12190080376716622,41.34673095794889,44.835057754184945,3.488326796236052
kodim18.png,"(7,4)/(7,7)",0.22607794552912153,0.17307412822335158,39.98042962470346,43.60934324171648,3.628913617013019
kodim19.png,"(7,4)/(7,7)",0.2360508606229359,0.16156286663708325,40.868142020745,44.693962248005896,3.8258202272608983
kodim20.png,"(4,7)/(5,7)",0.19330262117452335,0.10768412858549549,41.6973849673748,45.32013898079568,3.622754013420881
kodim21.png,"(7,4)/(7,7)",0.22631139357822033,0.14398295959303836,39.91787212239569,43.81460841346794,3.8967362910722443
kodim22.png,"(4,7)/(5,7)",0.19183370493082383,0.14915327815683066,42.209441571361054,44.64672602739752,2.4372844560364655
kodim23.png,"(4,7)/(5,7)",0.18361861426425796,0.10376218217735039,43.30376891374796,45.069641307899744,1.7658723941517849
kodim24.png,"(4,7)/(5,7)",0.19945289397699026,0.16688258678311202,40.75714064170124,43.55200619853476,2.7948655568335212
t001.png,"(4,7)/(5,7)",0.15982878958766172,0.1162151794956371,41.35021915510159,45.39937877863469,4.0491596235331
t002.png,"(7,4)/(7,7)",0.18007425128517754,0.13243315594181895,41.73430197998323,45.19117640038949,3.4568744204062583
t003.png,"(4,7)/(5,7)",0.08002656275991026,0.1482694482738143,39.84761744625971,44.30796133657115,4.460343890311435
t004.png,"(7,4)/(7,7)",0.20959042178713083,0.2207735021706,41.05225520250901,45.141422010022936,4.0891668075139265
t005.png,"(7,4)/(7,7)",0.22160819824542993,0.1748866268607206,41.2201102931012,44.19665290574348,2.9765426126422767
t006.png,"(7,4)/(7,7)",0.17547900947000783,0.12781924737909023,42.16424606574543,45.22717749213432,3.062931426388886
t007.png,"(4,7)/(5,7)",0.23798422196815644,0.23684539860453552,38.83200402144982,42.38500090877274,3.5529968873229194
t008.png,"(7,4)/(7,7)",0.20067231130062976,0.1477501281631743,42.86283187689418,44.596088934689035,1.7332570577948587
t009.png,"(4,7)/(5,7)",0.12405079767384306,0.12489146375688609,39.62628649074251,45.201329798501064,5.5750433077585555
t010.png,"(4,7)/(5,7)",0.11139043470247356,0.10853177728580143,42.72960855766638,45.332686979312214,2.603078421645833
t011.png,"(7,4)/(7,7)",0.197224921131246,0.12986905610510802,42.7227133439725,45.362792521922096,2.6400791779495947
t012.png,"(7,4)/(7,7)",0.18719315238896797,0.10591988653114118,43.006301831505205,45.3891354515378,2.382833620032592
t013.png,"(4,7)/(5,7)",0.20217270757314126,0.30000000000000004,37.741557816809106,42.14667132617918,4.405113509370075
t014.png,"(4,7)/(5,7)",0.22933867397748336,0.1931269262448208,39.73546863470567,43.89960942950577,4.164140794800105
t015.png,"(7,4)/(7,7)",0.14619969646312486,0.2647038671579552,37.44211512365634,43.51835598062975,6.076240856973406
t016.png,"(4,7)/(5,7)",0.21494086844805832,0.27670466508721836,39.37136053283585,43.05403025998848,3.6826697271526285
t017.png,"(4,7)/(5,7)",0.2119842473265831,0.2317415221115624,38.37929984830498,42.52234049334727,4.143040645042291
t018.png,"(7,4)/(7,7)",0.20259444084075295,0.13577175712910008,41.22511153535186,44.874105408005974,3.648993872654117
t019.png,"(4,7)/(5,7)",0.17726153730427124,0.15756194890408576,40.47392536127649,44.7950815763484,4.321156215071909
t020.png,"(4,7)/(5,7)",0.20460350820430903,0.18599017843178772,40.114966720814714,44.4328095455832,4.3178428247684835
t021.png,"(4,7)/(5,7)",0.1794114802044888,0.19847715427604468,37.91926511407576,43.49014152507121,5.570876410995446
t022.png,"(4,7)/(5,7)",0.1949264051726634,0.2215938321065521,39.225767379925514,42.95971532874248,3.7339479488169687
t023.png,"(4,7)/(5,7)",0.193673882376603,0.21275828441930159,39.77914300998304,43.695490064155855,3.9163470541728174
t024.png,"(6,7)/(7,5)",0.1944481808007258,0.17549354703315684,39.093714846373054,43.66951644107459,4.575801594701538
t025.png,"(4,7)/(5,7)",0.17338498238476538,0.21716650514416808,39.47315080100778,44.270655859126286,4.797505058118503
t026.png,"(4,7)/(5,7)",0.18802930073996127,0.10702829841554698,42.89635061878756,45.38764563751586,2.4912950187283016
t027.png,"(4,7)/(5,7)",0.24239608814932423,0.14274200111749208,42.52796792105347,45.37082064712305,2.84285272606958
