coeff_pair,direction,attack_name,image,nc,ber
"(1,4)/(7,7)",A,jpeg_compression_q50,kodim08.png,0.896484375,0.0517578125
"(1,4)/(7,7)",A,gaussian_blur_5x5,kodim08.png,0.5390625,0.23046875
"(1,4)/(7,7)",A,espcn_x4,kodim08.png,1.0,0.0
"(1,4)/(7,7)",A,real_esrgan,kodim09.png,0.791015625,0.1044921875
"(1,4)/(7,7)",A,jpeg_compression_q50,kodim09.png,0.9765625,0.01171875
"(1,4)/(7,7)",A,gaussian_blur_5x5,kodim09.png,0.892578125,0.0537109375
"(1,4)/(7,7)",A,espcn_x4,kodim09.png,1.0,0.0
"(1,4)/(7,7)",A,real_esrgan,kodim10.png,0.6796875,0.16015625
"(1,4)/(7,7)",A,jpeg_compression_q50,kodim10.png,0.95703125,0.021484375
"(1,4)/(7,7)",A,gaussian_blur_5x5,kodim10.png,0.876953125,0.0615234375
"(1,4)/(7,7)",A,espcn_x4,kodim10.png,1.0,0.0
"(1,4)/(7,7)",A,real_esrgan,kodim11.png,0.8359375,0.08203125
"(1,4)/(7,7)",A,jpeg_compression_q50,kodim11.png,0.978515625,0.0107421875
"(1,4)/(7,7)",A,gaussian_blur_5x5,kodim11.png,0.783203125,0.1083984375
"(1,4)/(7,7)",A,espcn_x4,kodim11.png,1.0,0.0
"(1,4)/(7,7)",A,real_esrgan,kodim12.png,0.88671875,0.056640625
"(1,4)/(7,7)",A,jpeg_compression_q50,kodim12.png,0.978515625,0.0107421875
"(1,4)/(7,7)",A,gaussian_blur_5x5,kodim12.png,0.912109375,0.0439453125
"(1,4)/(7,7)",A,espcn_x4,kodim12.png,1.0,0.0
"(1,4)/(7,7)",A,real_esrgan,kodim13.png,0.892578125,0.0537109375
"(1,4)/(7,7)",A,jpeg_compression_q50,kodim13.png,0.958984375,0.0205078125
"(1,4)/(7,7)",A,gaussian_blur_5x5,kodim13.png,0.56640625,0.216796875
"(1,4)/(7,7)",A,espcn_x4,kodim13.png,1.0,0.0
"(1,4)/(7,7)",A,real_esrgan,kodim14.png,0.865234375,0.0673828125
"(1,4)/(7,7)",A,jpeg_compression_q50,kodim14.png,0.96484375,0.017578125
"(1,4)/(7,7)",A,gaussian_blur_5x5,kodim14.png,0.69921875,0.150390625
