coeff_row,coeff_col,mean_abs_change,std_abs_change
0,0,4.28905130004886,3.349861644510521
0,1,3.6288853468207627,2.7520926799447962
0,2,2.74657879539289,2.1385063957945056
0,3,3.019154863223424,2.364733818129191
0,4,3.1853218994140615,2.639167984168371
0,5,3.379492103655057,2.7752053264302803
0,6,3.8446440553200874,3.5384613448625126
0,7,3.8028028418233895,3.3125321456058403
1,0,3.6998185705142212,2.7650343535153374
1,1,3.4428460446579714,2.6290278142717862
1,2,2.702117917527022,2.12171545832691
1,3,2.9271967903866423,2.311836727623146
1,4,4.0156982662247795,3.110885634811823
1,5,3.2964888556764635,2.767133685686184
1,6,3.815783400498735,3.545416013256635
1,7,3.667833714224128,3.283492097973951
2,0,3.012333004797927,2.335656913093649
2,1,2.889699715218822,2.2348394731561245
2,2,2.8432589724580994,2.300184639208374
2,3,2.980501676281396,2.497918288953776
2,4,3.37596717693581,3.005744687165705
2,5,3.5412094505959955,3.186057597677636
2,6,4.213640724871458,4.15288453841334
2,7,3.9377802469522543,3.7326306650594003
3,0,3.3870709793953773,2.6637170538448247
3,1,3.193942602549762,2.4962853327586285
3,2,2.938165743914266,2.4710752995483896
3,3,3.1827993913545005,2.628633071219165
3,4,4.081174213885483,3.093089336698355
3,5,3.6284728299055637,3.2366030534007786
3,6,4.249045819246189,4.190469738018627
3,7,4.016106156786378,3.845667946779724
4,0,3.9457054931640556,3.159843566638607
4,1,5.023602898480972,3.717906072194521
4,2,3.4071115787235278,3.0480859331007752
4,3,3.7757018157834836,3.082652911617296
4,4,3.7522820495605593,3.614486402981285
4,5,3.941273211382714,3.6326136429999933
4,6,4.434983603604422,4.552920856015937
4,7,4.35321990938983,4.146462402797477
5,0,3.7213904280163503,2.914429818282243
5,1,3.5855035410316582,2.8811976849788397
5,2,3.420053119949217,3.0325819872497295
5,3,3.589029236156069,3.1438305954704187
5,4,4.12452122524782,3.620762163559405
5,5,4.0515910308796785,3.7226546284367554
5,6,4.547232924442639,4.623681293319964
5,7,4.281180241095797,4.321679566290227
6,0,3.2517672630212813,2.7457745893927314
6,1,3.320306658379697,2.8887919069013397
6,2,3.744944577367047,3.453044836890816
6,3,3.941944595983847,3.686430873263446
6,4,4.468349740689406,4.548598840828755
6,5,4.4365431133011395,4.4479842157961595
6,6,4.810560568213516,5.264390891759257
6,7,4.692388645568594,4.991207162561375
7,0,3.403990189873293,2.72028819875228
7,1,3.368214068969595,2.8319080999876665
7,2,3.661931299068507,3.2752122386476543
7,3,3.7754192083367535,3.496510729980296
7,4,4.5241707065169905,4.107942928814544
7,5,4.236450156835554,4.264616989997843
7,6,4.725756635721284,5.097814747025904
7,7,4.483588578162094,4.813422241536026
