coeff_row,coeff_col,mean_abs_change,std_abs_change
0,0,54.64011546325692,37.359957328686555
0,1,9.871490812520584,10.456114446287593
0,2,7.505821425067299,8.464956502363195
0,3,6.1554164783972976,7.689426550083353
0,4,5.410022036743147,7.3409974801874585
0,5,4.84398598796661,7.2229733604077815
0,6,4.415772877587446,7.019213559323635
0,7,4.130088737950826,6.710234933722364
1,0,10.380939637229789,10.569937517709791
1,1,6.71929180958058,6.538370717756974
1,2,5.6556403679852725,5.67115779489195
1,3,4.806628981532353,5.020580280521326
1,4,10.407363759920141,7.029600175529528
1,5,3.9600355846555453,4.42284563358865
1,6,3.736729270385136,4.395582466898807
1,7,3.5437012496261415,4.509704465075731
2,0,7.428960263249005,8.080384950494556
2,1,5.616072667817222,5.615601340967304
2,2,4.96439084728289,5.003065776437153
2,3,4.3690762721029825,4.5688779347656086
2,4,4.0512095975409546,4.3251091115283735
2,5,3.717095552938602,4.048670833946619
2,6,3.463924290464393,3.9448768603005258
2,7,3.423185525588194,4.013932897758329
3,0,6.336925183737301,8.386676783354815
3,1,5.036225877941422,5.319930882854101
3,2,4.467644185922044,4.623565820788316
3,3,4.117146334448142,4.220060040017617
3,4,3.8231238427372283,4.066189301651205
3,5,3.556539157661274,3.8927906206160103
3,6,3.3512486547816764,3.73857792823047
3,7,3.276443177348746,3.774241186171343
4,0,5.782166256713911,7.551402628546588
4,1,9.974430254723845,7.1637629668524925
4,2,4.2675195954416045,4.597906797895275
4,3,4.009116671628159,4.392847879567886
4,4,3.684611904907226,4.053556943161213
4,5,3.490013727594152,3.84680295865093
4,6,3.2837928415311013,3.7412730726602796
4,7,3.216483961012089,3.7270653655309256
5,0,5.1125755978844385,7.212030564451655
5,1,4.27250242944661,5.011614643837894
5,2,3.905747837508978,4.456434442238971
5,3,3.6742225274571454,4.155718734811456
5,4,3.5099739950488873,3.906390985622502
5,5,3.368175098806001,3.666709813383772
5,6,3.2427166117665633,3.6493932795016795
5,7,3.12969769773316,3.787996280552329
6,0,4.699688695551819,6.936602992041874
6,1,3.9822322344749765,5.188579725039301
6,2,3.665814197335081,4.377307967045717
6,3,3.4736004381379386,3.9953613848654563
6,4,3.353528052689729,3.861612212487151
6,5,3.2976692341335236,3.6847956641090747
6,6,3.1858933718066584,3.820242587741486
6,7,3.1693100995839623,3.716618944747152
7,0,4.38834076868146,6.912974314652387
7,1,3.782834468268473,5.240907824389709
7,2,3.5376791213176553,4.308266504092614
7,3,3.35533610112604,3.929813715346887
7,4,3.314032590514382,3.83744907038718
7,5,3.1898807922992383,3.79899516353374
7,6,3.1855876669901098,3.8520087070830877
7,7,3.052821638475687,3.856118801533136
