image,selected_pair,embedding_cost,attack_name,nc_adaptive,nc_standard,psnr_adaptive,psnr_standard,ssim_adaptive,ssim_standard,alpha_adaptive,nc_adaptive_strength,ber_adaptive_strength,psnr_adaptive_strength,ssim_adaptive_strength
kodim01.png,"(7,4)/(7,7)",0.24052127620758296,real_esrgan,0.88671875,0.73828125,28.2498709278361,28.15893141930793,0.8721634295758731,0.8719144217449587,0.22459483680226805,0.89453125,0.052734375,28.241682602340337,0.8717482049531368
kodim01.png,"(7,4)/(7,7)",0.24052127620758296,jpeg_compression_q50,0.880859375,1.0,29.481247946131827,29.524356566456788,0.8791430745707611,0.8758712607392288,0.22459483680226805,0.89453125,0.052734375,29.472990148493444,0.8789771721812726
kodim01.png,"(7,4)/(7,7)",0.24052127620758296,gaussian_blur_5x5,0.966796875,0.912109375,25.54601054051474,25.657156457331727,0.7580344149639933,0.7598572794133722,0.22459483680226805,0.9765625,0.01171875,25.545774939814123,0.758014426074551
kodim02.png,"(4,7)/(5,7)",0.19624710546084007,real_esrgan,0.8671875,0.7890625,31.36553209025083,31.04871568212044,0.8612350952496884,0.8599161399194998,0.13593100726090437,0.865234375,0.0673828125,31.365540522324867,0.8611578635453458
kodim02.png,"(4,7)/(5,7)",0.19624710546084007,jpeg_compression_q50,0.873046875,0.998046875,32.36980264755911,32.32025234013288,0.8375343127660803,0.8310686239583228,0.13593100726090437,0.87890625,0.060546875,32.368774120041714,0.8374580972792799
kodim02.png,"(4,7)/(5,7)",0.19624710546084007,gaussian_blur_5x5,0.998046875,0.986328125,31.865568236033948,31.92584739891125,0.8695043296103036,0.8678643826905289,0.13593100726090437,0.998046875,0.0009765625,31.865664413181847,0.8695013023427807
kodim03.png,"(6,7)/(7,5)",0.23799333361617514,real_esrgan,0.896484375,0.84765625,31.286113786649782,30.848188065542345,0.9235907369221157,0.91732612490744,0.12100980814124193,0.896484375,0.0517578125,31.284808712680277,0.9235606489874172
kodim03.png,"(6,7)/(7,5)",0.23799333361617514,jpeg_compression_q50,0.705078125,0.99609375,33.70872402134025,33.50684114887217,0.905656322654044,0.8881830873920081,0.12100980814124193,0.705078125,0.1474609375,33.7100009275342,0.9056489939409137
kodim03.png,"(6,7)/(7,5)",0.23799333361617514,gaussian_blur_5x5,0.9921875,0.96875,32.288280903074686,32.24234909344714,0.9127335768020376,0.905482363449448,0.12100980814124193,0.994140625,0.0029296875,32.28837173714189,0.9127344292791509
kodim04.png,"(7,4)/(7,7)",0.1912687123193304,real_esrgan,0.873046875,0.814453125,29.91616874575724,29.70789869278738,0.8903455946304861,0.8856327571092554,0.149050828725599,0.873046875,0.0634765625,29.91405994738644,0.8902828740236416
kodim04.png,"(7,4)/(7,7)",0.1912687123193304,jpeg_compression_q50,0.845703125,0.998046875,32.71996499334547,32.634255585907695,0.8770674758489813,0.8692434573028556,0.149050828725599,0.8515625,0.07421875,32.71594825904741,0.8770304066737329
kodim04.png,"(7,4)/(7,7)",0.1912687123193304,gaussian_blur_5x5,0.974609375,0.96484375,31.652793779734395,31.694882802258615,0.8910800184511993,0.8884382766655033,0.149050828725599,0.9765625,0.01171875,31.652528311980422,0.8910772661892561
