embedding_variant,attack_type,attack_name,n,nc_mean,nc_std,ber_mean,ber_std,psnr_after_attack_mean,ssim_after_attack_mean
optimized_positions,ai_enhancement,ai_fallback_enhancement,400,0.925712890625,0.061319041203201134,0.0371435546875,0.03065952060160058,18.2896000196897,0.7448287137105545
optimized_positions,ai_enhancement,espcn_x4,400,0.999853515625,0.001475614057853393,7.32421875e-05,0.0007378070289266984,41.93614244490176,0.9851314662483324
optimized_positions,ai_enhancement,real_esrgan,400,0.83306640625,0.10800284342296808,0.083466796875,0.05400142171148402,29.41537784705896,0.8903363870685159
optimized_positions,none,watermarked_only,400,0.99998046875,0.00019457685708477838,9.765625e-06,9.728842854236306e-05,43.827142380235784,0.9885096241725638
optimized_positions,traditional,crop_resize_80pct,400,0.01259765625,0.027320838559547256,0.493701171875,0.013660419279773614,14.080464189550801,0.27979363980111926
optimized_positions,traditional,gaussian_blur_5x5,400,0.9792138671875,0.023210798391023867,0.01039306640625,0.011605399195511927,28.891904338453337,0.851654873074034
optimized_positions,traditional,gaussian_noise_s10,400,0.99921875,0.0031804342742793113,0.000390625,0.0015902171371396621,28.076336973479723,0.7054458302670628
optimized_positions,traditional,jpeg_compression_q50,400,0.9034423828125,0.08977393848382992,0.04827880859375,0.044886969241914945,30.51808796286738,0.8725962177458471
optimized_positions,traditional,median_filter_3x3,400,0.885234375,0.09210194211245176,0.0573828125,0.046050971056225874,29.945061882250158,0.858117449544703
stable_positions,ai_enhancement,ai_fallback_enhancement,400,0.7672900390625,0.19745114491760202,0.11635498046875,0.09872557245880101,18.276631533523833,0.743683062287727
stable_positions,ai_enhancement,espcn_x4,400,0.99962890625,0.002211525139267482,0.000185546875,0.0011057625696337166,40.94680084124246,0.9821763651517496
stable_positions,ai_enhancement,real_esrgan,400,0.801240234375,0.1345997619914105,0.0993798828125,0.06729988099570523,29.29955444064001,0.8874496454669349
stable_positions,none,watermarked_only,400,0.99994140625,0.0004754089213557563,2.9296875e-05,0.00023770446067790746,42.49064964840273,0.98599836683229
stable_positions,traditional,crop_resize_80pct,400,0.0162255859375,0.03134731771199508,0.49188720703125,0.015673658855997533,14.080578518282284,0.27868189059154524
stable_positions,traditional,gaussian_blur_5x5,400,0.981328125,0.018128512280145455,0.0093359375,0.009064256140072731,28.858884442244584,0.8500191706868141
stable_positions,traditional,gaussian_noise_s10,400,0.998203125,0.0035812052898878638,0.0008984375,0.001790602644943929,28.034034539362434,0.7043301502533614
stable_positions,traditional,jpeg_compression_q50,400,0.973935546875,0.05626528050894324,0.0130322265625,0.028132640254471625,30.404778383251973,0.8683414867918389
stable_positions,traditional,median_filter_3x3,400,0.9183544921875,0.06018850716179733,0.04082275390625,0.030094253580898685,29.88920388084939,0.8560073042721241
standard,ai_enhancement,ai_fallback_enhancement,400,0.8738671875,0.08287511911280074,0.06306640625,0.04143755955640037,18.238997842038298,0.7401625854054437
standard,ai_enhancement,espcn_x4,400,0.9992822265625,0.002286800729833217,0.00035888671875,0.0011434003649166277,39.38284352184357,0.9775318945629912
standard,ai_enhancement,real_esrgan,400,0.7947998046875,0.1220610580569373,0.10260009765625,0.06103052902846865,29.15441323647195,0.8850046016806796
standard,none,watermarked_only,400,0.9997705078125,0.0009249122082364603,0.00011474609375,0.00046245610411820834,40.4089806243088,0.9813271569850958
standard,traditional,crop_resize_80pct,400,-0.0097265625,0.029642521638351245,0.50486328125,0.014821260819175645,14.083537244370769,0.27772015069571593
standard,traditional,gaussian_blur_5x5,400,0.9215087890625,0.060052822885200585,0.03924560546875,0.030026411442600327,28.734225474563658,0.843347804921104
standard,traditional,gaussian_noise_s10,400,0.9985888671875,0.0047220029484299235,0.00070556640625,0.002361001474214973,27.921164859589453,0.701595581662407
standard,traditional,jpeg_compression_q50,400,0.9956298828125,0.018548164987452622,0.00218505859375,0.009274082493726318,30.212636727439747,0.8607419498549815
standard,traditional,median_filter_3x3,400,0.8916162109375,0.07848298561377479,0.05419189453125,0.03924149280688735,29.71137133134909,0.8493075631125349
