predictor,r_real_esrgan,p_real_esrgan,r_jpeg_compression_q50,p_jpeg_compression_q50,r_gaussian_blur_5x5,p_gaussian_blur_5x5,r_espcn_x4,p_espcn_x4
Combined ESRGAN damage,-0.690678446522372,2.9635603354180494e-07,0.7076411960132891,1.119263859627271e-07,-0.7108661199757846,9.229292167837808e-08,-0.6680375665248601,9.859891685872664e-07
Stability differential (ESRGAN),-0.7729074645898109,1.25436871565777e-09,0.5377529447296889,0.00020012514149357722,-0.860001512683685,1.4978307537184346e-13,-0.7158845250353241,6.800788642477009e-08
"Symmetry class (2=sym, 1=near, 0=asym)",0.48350319864611513,0.0010215430217501958,-0.2707730731426816,0.07904914017222751,0.6608096678819713,1.4166502928387911e-06,0.503628698728087,0.0005757695618360857
Frequency radius sum,0.8845617354837213,3.659223852677646e-15,-0.6091260200509716,1.4597929003296638e-05,0.8085902916004991,5.441356309881036e-11,0.8260431860007965,9.148223264584253e-12
Joint stability (ESRGAN),-0.4696140277421954,0.0014875713761155235,0.6276903896180136,6.630112245179231e-06,-0.36330583840852476,0.01663781844119865,-0.48104499610927975,0.0010930605663046515
Combined JPEG damage,0.7203533814172328,5.153310553691388e-08,-0.6978254303835699,1.9822811058445143e-07,0.6333157157676763,5.166647067539478e-06,0.7170219329238453,6.340344518397652e-08
Stability differential (JPEG),-0.666440140921226,1.0691160240072412e-06,0.2428269405013591,0.11665073565548945,-0.6469078021916874,2.7694524783674464e-06,-0.5486855654226888,0.00013920225086222677
