coeff_pair,p1,p2,symmetry_class,symmetry_num,is_symmetric,is_near_or_sym,joint_stability_esrgan,combined_damage_esrgan,stability_diff_esrgan,max_damage_esrgan,joint_stability_jpeg,combined_damage_jpeg,stability_diff_jpeg,freq_radius_p1,freq_radius_p2,freq_radius_sum,freq_radius_diff,nc_real_esrgan,ber_real_esrgan,nc_jpeg_compression_q50,ber_jpeg_compression_q50,nc_gaussian_blur_5x5,ber_gaussian_blur_5x5,nc_espcn_x4,ber_espcn_x4,nc_overall
"(1,4)/(7,7)","(1, 4)","(7, 7)",asymmetric,0,0,0,3.052821638475687,13.460185398395826,7.354542121444452,10.40736375992014,4.0156982662247795,8.499286844386873,0.4678903119373148,4.123105625617661,9.899494936611665,14.022600562229325,5.776389310994005,0.790234375,0.1048828125,0.9482421875,0.02587890625,0.77724609375,0.111376953125,0.9978515625,0.00107421875,0.8783935546874999
"(1,0)/(7,7)","(1, 0)","(7, 7)",asymmetric,0,0,0,3.052821638475687,13.433761275705475,7.328117998754101,10.380939637229789,3.699818570514221,8.183407148676315,0.7837700076478735,1.0,9.899494936611665,10.899494936611665,8.899494936611665,0.38779296875,0.306103515625,0.77646484375,0.111767578125,0.4048828125,0.29755859375,0.9890625,0.00546875,0.6395507812500001
"(1,4)/(5,7)","(1, 4)","(5, 7)",asymmetric,0,0,0,3.12969769773316,13.5370614576533,7.277666062186979,10.40736375992014,4.0156982662247795,8.296878507320576,0.2654819748710171,4.123105625617661,8.602325267042627,12.725430892660288,4.479219641424966,0.8046875,0.09765625,0.96875,0.015625,0.810546875,0.0947265625,0.99814453125,0.000927734375,0.8955322265625
"(1,0)/(5,7)","(1, 0)","(5, 7)",asymmetric,0,0,0,3.12969769773316,13.510637334962949,7.251241939496628,10.380939637229789,3.699818570514221,7.980998811610018,0.5813616705815758,1.0,8.602325267042627,9.602325267042627,7.602325267042627,0.401171875,0.2994140625,0.85908203125,0.070458984375,0.429296875,0.2853515625,0.99013671875,0.004931640625,0.669921875
"(1,4)/(6,7)","(1, 4)","(6, 7)",asymmetric,0,0,0,3.1693100995839623,13.576673859504101,7.238053660336178,10.40736375992014,4.0156982662247795,8.708086911793373,0.6766903793438148,4.123105625617661,9.219544457292887,13.342650082910549,5.0964388316752265,0.79365234375,0.103173828125,0.9240234375,0.03798828125,0.79287109375,0.103564453125,0.99794921875,0.001025390625,0.8771240234375001
"(1,4)/(7,6)","(1, 4)","(7, 6)",asymmetric,0,0,0,3.1855876669901098,13.592951426910249,7.22177609293003,10.40736375992014,4.0156982662247795,8.741454901946064,0.7100583694965046,4.123105625617661,9.219544457292887,13.342650082910549,5.0964388316752265,0.79375,0.103125,0.9439453125,0.02802734375,0.7923828125,0.10380859375,0.99794921875,0.001025390625,0.8820068359375001
"(1,4)/(6,6)","(1, 4)","(6, 6)",asymmetric,0,0,0,3.1858933718066584,13.593257131726798,7.221470388113481,10.40736375992014,4.0156982662247795,8.826258834438296,0.7948623019887364,4.123105625617661,8.48528137423857,12.60838699985623,4.362175748620909,0.797265625,0.1013671875,0.91396484375,0.043017578125,0.809375,0.0953125,0.99833984375,0.000830078125,0.8797363281249999
"(1,4)/(7,5)","(1, 4)","(7, 5)",asymmetric,0,0,0,3.1898807922992383,13.597244552219378,7.217482967620901,10.40736375992014,4.0156982662247795,8.252148423060333,0.22075189061077438,4.123105625617661,8.602325267042627,12.725430892660288,4.479219641424966,0.8037109375,0.09814453125,0.97001953125,0.014990234375,0.80986328125,0.095068359375,0.9978515625,0.00107421875,0.8953613281249999
"(1,0)/(6,7)","(1, 0)","(6, 7)",asymmetric,0,0,0,3.1693100995839623,13.55024973681375,7.211629537645827,10.380939637229789,3.699818570514221,8.392207216082815,0.9925700750543736,1.0,9.219544457292887,10.219544457292887,8.219544457292887,0.38994140625,0.305029296875,0.78994140625,0.105029296875,0.4158203125,0.29208984375,0.99052734375,0.004736328125,0.6465576171875
"(1,0)/(7,6)","(1, 0)","(7, 6)",asymmetric,0,0,0,3.1855876669901098,13.566527304219898,7.195351970239679,10.380939637229789,3.699818570514221,8.425575206235505,1.0259380652070633,1.0,9.219544457292887,10.219544457292887,8.219544457292887,0.39443359375,0.302783203125,0.772265625,0.1138671875,0.41572265625,0.292138671875,0.98974609375,0.005126953125,0.6430419921874999
"(1,0)/(6,6)","(1, 0)","(6, 6)",asymmetric,0,0,0,3.1858933718066584,13.566833009036447,7.19504626542313,10.380939637229789,3.699818570514221,8.510379138727737,1.1107419976992952,1.0,8.48528137423857,9.48528137423857,7.4852813742385695,0.39326171875,0.303369140625,0.79306640625,0.103466796875,0.4287109375,0.28564453125,0.99150390625,0.004248046875,0.6516357421875
